Algorithm,Time (seconds),Cost,Path,Cost length?,Start Point,Goal Point
jps,0.0024204170,32.14213562373095,8,10,"(31, 6)","(5, 4)"
lazy_theta_star,0.0058412500,31.06225774829855,4,250,"(31, 6)","(5, 4)"
a_star,0.0048604170,45.89949493661165,44,286,"(48, 15)","(6, 7)"
dijkstra,0.0175672090,45.89949493661165,44,1135,"(48, 15)","(6, 7)"
theta_star,0.0095039170,45.422889075269936,5,365,"(48, 15)","(6, 7)"
jps,0.0034475420,45.31370849898477,6,14,"(48, 15)","(6, 7)"
lazy_theta_star,0.0091747910,45.422889075269936,6,366,"(48, 15)","(6, 7)"
a_star,0.0000576670,4.242640687119286,4,4,"(38, 9)","(41, 12)"
dijkstra,0.0008312910,4.242640687119286,4,52,"(38, 9)","(41, 12)"
theta_star,0.0000911250,4.242640687119285,2,4,"(38, 9)","(41, 12)"
jps,0.0008314170,4.242640687119286,3,3,"(38, 9)","(41, 12)"
lazy_theta_star,0.0000775830,4.242640687119285,2,4,"(38, 9)","(41, 12)"
a_star,0.0011040830,18.72792206135786,16,69,"(16, 28)","(31, 19)"
dijkstra,0.0070441660,18.72792206135786,16,455,"(16, 28)","(31, 19)"
theta_star,0.0011070000,17.726309571328137,3,44,"(16, 28)","(31, 19)"
jps,0.0017026250,18.727922061357855,8,8,"(16, 28)","(31, 19)"
lazy_theta_star,0.0009801250,17.726309571328137,3,44,"(16, 28)","(31, 19)"
a_star,0.0017411670,21.89949493661167,20,110,"(5, 17)","(21, 7)"
dijkstra,0.0083800420,21.899494936611667,20,544,"(5, 17)","(21, 7)"
theta_star,0.0017891660,20.278600047021172,3,80,"(5, 17)","(21, 7)"
jps,0.0022660000,21.313708498984763,7,9,"(5, 17)","(21, 7)"
lazy_theta_star,0.0018631670,20.278600047021172,3,80,"(5, 17)","(21, 7)"
a_star,0.0014100420,23.313708498984763,21,91,"(28, 19)","(41, 4)"
dijkstra,0.1319642910,23.313708498984766,21,971,"(28, 19)","(41, 4)"
theta_star,0.0009730830,21.544003745317532,3,40,"(28, 19)","(41, 4)"
jps,0.0015486250,22.72792206135786,6,9,"(28, 19)","(41, 4)"
lazy_theta_star,0.0009292500,21.544003745317532,3,43,"(28, 19)","(41, 4)"
a_star,0.0033424170,28.97056274847715,25,194,"(18, 6)","(37, 23)"
dijkstra,0.0166329590,28.970562748477146,25,1049,"(18, 6)","(37, 23)"
theta_star,0.0027857910,26.944177648514763,4,126,"(18, 6)","(37, 23)"
jps,0.0049300830,28.38477631085024,12,24,"(18, 6)","(37, 23)"
lazy_theta_star,0.0030686250,26.944177648514763,4,128,"(18, 6)","(37, 23)"
a_star,0.0054973750,44.142135623730944,41,341,"(42, 3)","(2, 9)"
dijkstra,0.0180026250,44.14213562373095,41,1189,"(42, 3)","(2, 9)"
theta_star,0.0072895830,41.57833117062755,4,277,"(42, 3)","(2, 9)"
jps,0.0031818750,44.142135623730944,8,13,"(42, 3)","(2, 9)"
lazy_theta_star,0.0066467920,41.57833117062755,4,265,"(42, 3)","(2, 9)"
a_star,0.0033046670,41.45584412271571,35,221,"(35, 29)","(1, 11)"
dijkstra,0.0198704590,41.45584412271571,35,1275,"(35, 29)","(1, 11)"
theta_star,0.0024000410,38.597418657208486,4,102,"(35, 29)","(1, 11)"
jps,0.0037120830,41.45584412271571,11,19,"(35, 29)","(1, 11)"
lazy_theta_star,0.0035717500,38.597418657208486,4,115,"(35, 29)","(1, 11)"
a_star,0.0020782910,23.142135623730955,20,133,"(1, 10)","(15, 25)"
dijkstra,0.0069374170,23.142135623730955,20,430,"(1, 10)","(15, 25)"
theta_star,0.0022628340,21.588892842810505,3,100,"(1, 10)","(15, 25)"
jps,0.0025991670,22.556349186104047,9,12,"(1, 10)","(15, 25)"
lazy_theta_star,0.0023599170,21.588892842810505,3,101,"(1, 10)","(15, 25)"
a_star,0.0030830830,29.97056274847715,26,190,"(38, 12)","(15, 26)"
dijkstra,0.0152965420,29.970562748477146,26,1031,"(38, 12)","(15, 26)"
theta_star,0.0014637500,27.77070203907249,4,68,"(38, 12)","(15, 26)"
jps,0.0039632920,29.384776310850235,10,23,"(38, 12)","(15, 26)"
lazy_theta_star,0.0014379160,27.775223804844458,4,72,"(38, 12)","(15, 26)"
a_star,0.0000521250,4.0,5,5,"(49, 21)","(49, 17)"
dijkstra,0.0003937920,4.0,5,28,"(49, 21)","(49, 17)"
theta_star,0.0000687500,4.0,2,5,"(49, 21)","(49, 17)"
jps,0.0001600420,4.0,2,2,"(49, 21)","(49, 17)"
lazy_theta_star,0.0000667920,4.0,2,5,"(49, 21)","(49, 17)"
a_star,0.0001194590,6.242640687119285,6,8,"(25, 4)","(20, 1)"
dijkstra,0.0013429160,6.242640687119286,6,92,"(25, 4)","(20, 1)"
theta_star,0.0001291250,5.830951894845301,2,6,"(25, 4)","(20, 1)"
jps,0.0004976250,6.242640687119285,3,3,"(25, 4)","(20, 1)"
lazy_theta_star,0.0001265420,5.830951894845301,2,6,"(25, 4)","(20, 1)"
a_star,0.0006777500,14.899494936611669,13,45,"(10, 20)","(3, 8)"
dijkstra,0.0061770420,14.899494936611667,13,410,"(10, 20)","(3, 8)"
theta_star,0.0003872500,13.892443989449804,2,14,"(10, 20)","(3, 8)"
jps,0.0009638330,14.899494936611665,5,5,"(10, 20)","(3, 8)"
lazy_theta_star,0.0002822080,13.892443989449804,2,14,"(10, 20)","(3, 8)"
a_star,0.0025085410,29.142135623730955,26,169,"(31, 25)","(10, 11)"
dijkstra,0.0166062090,29.142135623730955,26,1068,"(31, 25)","(10, 11)"
theta_star,0.0021615000,26.93010646545045,4,104,"(31, 25)","(10, 11)"
jps,0.0030145000,27.970562748477143,10,18,"(31, 25)","(10, 11)"
lazy_theta_star,0.0020517920,26.93010646545045,4,105,"(31, 25)","(10, 11)"
a_star,0.0007211660,19.071067811865476,18,53,"(28, 15)","(29, 28)"
dijkstra,0.0115977910,19.071067811865476,18,756,"(28, 15)","(29, 28)"
theta_star,0.0011814160,19.071067811865476,4,57,"(28, 15)","(29, 28)"
jps,0.0018665830,18.48528137423857,8,12,"(28, 15)","(29, 28)"
lazy_theta_star,0.0011969580,19.071067811865476,4,59,"(28, 15)","(29, 28)"
a_star,0.0005485000,14.414213562373096,15,39,"(33, 18)","(24, 12)"
dijkstra,0.0061807500,14.414213562373096,15,409,"(33, 18)","(24, 12)"
theta_star,0.0007730420,14.055385138137417,3,38,"(33, 18)","(24, 12)"
jps,0.0005354580,13.828427124746192,5,5,"(33, 18)","(24, 12)"
lazy_theta_star,0.0007317910,14.055385138137417,3,38,"(33, 18)","(24, 12)"
a_star,0.0020036250,26.384776310850242,22,134,"(34, 1)","(47, 22)"
dijkstra,0.0116678330,26.384776310850242,22,772,"(34, 1)","(47, 22)"
theta_star,0.0025515000,25.306375256229057,3,104,"(34, 1)","(47, 22)"
jps,0.0021423340,26.384776310850235,6,9,"(34, 1)","(47, 22)"
lazy_theta_star,0.0024286670,25.306375256229057,3,104,"(34, 1)","(47, 22)"
a_star,0.0005890830,14.899494936611667,13,43,"(20, 19)","(32, 26)"
dijkstra,0.0070343750,14.899494936611667,13,486,"(20, 19)","(32, 26)"
theta_star,0.0005108330,14.091498488915388,3,24,"(20, 19)","(32, 26)"
jps,0.0011211250,14.899494936611665,6,6,"(20, 19)","(32, 26)"
lazy_theta_star,0.0004898750,14.091498488915388,3,24,"(20, 19)","(32, 26)"
a_star,0.0000560840,3.414213562373095,4,4,"(10, 14)","(9, 11)"
dijkstra,0.0004224170,3.414213562373095,4,32,"(10, 14)","(9, 11)"
theta_star,0.0004526250,3.1622776601683795,2,4,"(10, 14)","(9, 11)"
jps,0.0005140000,3.414213562373095,3,3,"(10, 14)","(9, 11)"
lazy_theta_star,0.0000748750,3.1622776601683795,2,4,"(10, 14)","(9, 11)"
a_star,0.0005425840,17.82842712474619,18,36,"(20, 27)","(22, 10)"
dijkstra,0.0068192920,17.82842712474619,18,447,"(20, 27)","(22, 10)"
theta_star,0.0004666250,17.11724276862369,2,18,"(20, 27)","(22, 10)"
jps,0.0010531670,17.82842712474619,6,8,"(20, 27)","(22, 10)"
lazy_theta_star,0.0003628750,17.11724276862369,2,18,"(20, 27)","(22, 10)"
a_star,0.0001012090,5.82842712474619,6,8,"(8, 29)","(3, 27)"
dijkstra,0.0007493750,5.82842712474619,6,54,"(8, 29)","(3, 27)"
theta_star,0.0001031250,5.385164807134504,2,6,"(8, 29)","(3, 27)"
jps,0.0005904170,5.82842712474619,3,3,"(8, 29)","(3, 27)"
lazy_theta_star,0.0000928750,5.385164807134504,2,6,"(8, 29)","(3, 27)"
a_star,0.0004165830,8.414213562373096,9,31,"(10, 25)","(13, 21)"
dijkstra,0.0020840000,8.414213562373096,9,146,"(10, 25)","(13, 21)"
theta_star,0.0005420000,8.123105625617661,3,28,"(10, 25)","(13, 21)"
jps,0.0013616250,7.82842712474619,5,7,"(10, 25)","(13, 21)"
lazy_theta_star,0.0004987920,8.123105625617661,3,28,"(10, 25)","(13, 21)"
a_star,0.0080860000,42.31370849898475,40,527,"(14, 5)","(46, 20)"
dijkstra,0.0191930410,42.31370849898475,40,1294,"(14, 5)","(46, 20)"
theta_star,0.0102184580,39.81664724101772,4,456,"(14, 5)","(46, 20)"
jps,0.0109912500,41.72792206135786,10,54,"(14, 5)","(46, 20)"
lazy_theta_star,0.0108715830,39.81664724101772,4,456,"(14, 5)","(46, 20)"
a_star,0.0015473750,32.242640687119284,32,108,"(5, 13)","(36, 10)"
dijkstra,0.0132094580,32.242640687119284,32,909,"(5, 13)","(36, 10)"
theta_star,0.0021060420,31.480806319118912,3,87,"(5, 13)","(36, 10)"
jps,0.0012125420,32.242640687119284,6,7,"(5, 13)","(36, 10)"
lazy_theta_star,0.0021291660,31.480806319118912,3,92,"(5, 13)","(36, 10)"
a_star,0.0011146660,19.899494936611667,18,77,"(20, 14)","(37, 21)"
dijkstra,0.0129032080,19.899494936611667,18,835,"(20, 14)","(37, 21)"
theta_star,0.0005558750,18.48006253551882,3,24,"(20, 14)","(37, 21)"
jps,0.0013127910,19.899494936611667,7,10,"(20, 14)","(37, 21)"
lazy_theta_star,0.0004716670,18.48006253551882,3,24,"(20, 14)","(37, 21)"
a_star,0.0005673330,23.07106781186548,22,40,"(16, 27)","(21, 6)"
dijkstra,0.0095999170,23.07106781186548,22,656,"(16, 27)","(21, 6)"
theta_star,0.0008297500,22.434343779314247,3,38,"(16, 27)","(21, 6)"
jps,0.0014554580,23.07106781186548,8,8,"(16, 27)","(21, 6)"
lazy_theta_star,0.0007170000,22.434343779314247,3,38,"(16, 27)","(21, 6)"
a_star,0.0007154170,16.899494936611667,15,47,"(28, 12)","(42, 19)"
dijkstra,0.0089338750,16.899494936611667,15,596,"(28, 12)","(42, 19)"
theta_star,0.0003999160,15.652475842498529,2,17,"(28, 12)","(42, 19)"
jps,0.0010547500,16.899494936611664,6,7,"(28, 12)","(42, 19)"
lazy_theta_star,0.0004822920,15.652475842498529,2,20,"(28, 12)","(42, 19)"
a_star,0.0039987500,42.38477631085023,38,266,"(5, 14)","(42, 1)"
dijkstra,0.0171939170,42.384776310850235,38,1168,"(5, 14)","(42, 1)"
theta_star,0.0020144160,39.39596139603429,3,77,"(5, 14)","(42, 1)"
jps,0.0049717080,42.384776310850235,7,19,"(5, 14)","(42, 1)"
lazy_theta_star,0.0017510000,39.463150487967496,3,83,"(5, 14)","(42, 1)"
a_star,0.0033209580,47.45584412271571,41,230,"(7, 4)","(42, 27)"
dijkstra,0.0179561670,47.4558441227157,41,1203,"(7, 4)","(42, 27)"
theta_star,0.0023099160,44.25239004002395,8,110,"(7, 4)","(42, 27)"
jps,0.0065462920,46.87005768508881,15,35,"(7, 4)","(42, 27)"
lazy_theta_star,0.0023648750,44.25239004002395,8,117,"(7, 4)","(42, 27)"
a_star,0.0019956670,28.07106781186548,27,116,"(38, 16)","(12, 11)"
dijkstra,0.0147410000,28.071067811865476,27,991,"(38, 16)","(12, 11)"
theta_star,0.0008857500,26.476404589747453,2,32,"(38, 16)","(12, 11)"
jps,0.0026202080,28.07106781186548,6,14,"(38, 16)","(12, 11)"
lazy_theta_star,0.0006766250,26.476404589747453,2,32,"(38, 16)","(12, 11)"
a_star,0.0003734170,12.485281374238571,11,27,"(17, 14)","(23, 4)"
dijkstra,0.0042793340,12.485281374238573,11,298,"(17, 14)","(23, 4)"
theta_star,0.0003593750,11.70820393249937,3,17,"(17, 14)","(23, 4)"
jps,0.0013861670,12.485281374238568,6,7,"(17, 14)","(23, 4)"
lazy_theta_star,0.0003476250,11.70820393249937,3,18,"(17, 14)","(23, 4)"
a_star,0.0013549170,24.313708498984763,22,95,"(48, 18)","(30, 7)"
dijkstra,0.0078322500,24.313708498984763,22,538,"(48, 18)","(30, 7)"
theta_star,0.0010766250,22.622477526859583,3,50,"(48, 18)","(30, 7)"
jps,0.0019469580,23.727922061357855,7,9,"(48, 18)","(30, 7)"
lazy_theta_star,0.0009722910,22.622477526859583,3,50,"(48, 18)","(30, 7)"
a_star,0.0010576660,20.656854249492383,20,74,"(14, 19)","(33, 15)"
dijkstra,0.0104449170,20.656854249492383,20,703,"(14, 19)","(33, 15)"
theta_star,0.0010490000,19.64911064067352,3,50,"(14, 19)","(33, 15)"
jps,0.0008879170,20.656854249492383,6,7,"(14, 19)","(33, 15)"
lazy_theta_star,0.0009757500,19.64911064067352,3,51,"(14, 19)","(33, 15)"
a_star,0.0023051250,27.55634918610405,24,158,"(16, 3)","(39, 14)"
dijkstra,0.0111984590,27.55634918610405,24,742,"(16, 3)","(39, 14)"
theta_star,0.0019952500,26.18962010041709,3,86,"(16, 3)","(39, 14)"
jps,0.0025330840,27.556349186104047,7,10,"(16, 3)","(39, 14)"
lazy_theta_star,0.0019138340,26.18962010041709,3,89,"(16, 3)","(39, 14)"
a_star,0.0004200000,14.82842712474619,15,30,"(20, 19)","(18, 5)"
dijkstra,0.0070438330,14.82842712474619,15,483,"(20, 19)","(18, 5)"
theta_star,0.0004932080,14.47213595499958,3,24,"(20, 19)","(18, 5)"
jps,0.0009507500,14.82842712474619,5,7,"(20, 19)","(18, 5)"
lazy_theta_star,0.0005080420,14.47213595499958,4,26,"(20, 19)","(18, 5)"
a_star,0.0008780840,20.07106781186548,19,62,"(26, 15)","(36, 2)"
dijkstra,0.0126216250,20.07106781186548,19,823,"(26, 15)","(36, 2)"
theta_star,0.0011383330,18.90424293993352,3,54,"(26, 15)","(36, 2)"
jps,0.0019447090,19.48528137423857,6,12,"(26, 15)","(36, 2)"
lazy_theta_star,0.0009920000,18.90424293993352,3,54,"(26, 15)","(36, 2)"
a_star,0.0000677080,4.0,5,5,"(36, 15)","(36, 19)"
dijkstra,0.0006258330,4.0,5,43,"(36, 15)","(36, 19)"
theta_star,0.0000941670,4.0,2,5,"(36, 15)","(36, 19)"
jps,0.0002344580,4.0,2,2,"(36, 15)","(36, 19)"
lazy_theta_star,0.0000834170,4.0,2,5,"(36, 15)","(36, 19)"
a_star,0.0020337910,27.142135623730958,24,139,"(14, 5)","(27, 25)"
dijkstra,0.0099531250,27.142135623730955,24,684,"(14, 5)","(27, 25)"
theta_star,0.0022012920,25.258558829269663,4,96,"(14, 5)","(27, 25)"
jps,0.0032815000,25.970562748477143,10,19,"(14, 5)","(27, 25)"
lazy_theta_star,0.0020718750,25.258558829269663,4,95,"(14, 5)","(27, 25)"
a_star,0.0010050830,20.142135623730955,17,70,"(35, 12)","(45, 28)"
dijkstra,0.0120610420,20.142135623730955,17,769,"(35, 12)","(45, 28)"
theta_star,0.0007665000,18.907069246908996,3,31,"(35, 12)","(45, 28)"
jps,0.0018725420,20.14213562373095,6,8,"(35, 12)","(45, 28)"
lazy_theta_star,0.0007121250,18.907069246908996,3,33,"(35, 12)","(45, 28)"
a_star,0.0021897910,31.970562748477146,28,153,"(22, 17)","(49, 29)"
dijkstra,0.0200621250,31.970562748477146,28,1322,"(22, 17)","(49, 29)"
theta_star,0.0011491660,29.630891807551905,3,48,"(22, 17)","(49, 29)"
jps,0.0036772920,31.970562748477143,9,18,"(22, 17)","(49, 29)"
lazy_theta_star,0.0010543340,29.630891807551905,3,51,"(22, 17)","(49, 29)"
a_star,0.0001326250,8.0,9,9,"(23, 28)","(23, 20)"
dijkstra,0.0015474160,8.0,9,107,"(23, 28)","(23, 20)"
theta_star,0.0002097080,8.0,2,9,"(23, 28)","(23, 20)"
jps,0.0002632910,8.0,2,2,"(23, 28)","(23, 20)"
lazy_theta_star,0.0001720420,8.0,2,9,"(23, 28)","(23, 20)"
a_star,0.0010502090,22.071067811865476,21,73,"(27, 21)","(47, 24)"
dijkstra,0.0129321660,22.071067811865476,21,860,"(27, 21)","(47, 24)"
theta_star,0.0011136250,21.06737753561682,4,53,"(27, 21)","(47, 24)"
jps,0.0017227910,22.071067811865476,7,8,"(27, 21)","(47, 24)"
lazy_theta_star,0.0012734590,21.153092293854666,5,60,"(27, 21)","(47, 24)"
a_star,0.0001816660,8.82842712474619,9,14,"(12, 1)","(20, 3)"
dijkstra,0.0010065420,8.82842712474619,9,73,"(12, 1)","(20, 3)"
theta_star,0.0001944170,8.246211251235321,2,9,"(12, 1)","(20, 3)"
jps,0.0004460000,8.82842712474619,3,3,"(12, 1)","(20, 3)"
lazy_theta_star,0.0002001250,8.246211251235321,2,9,"(12, 1)","(20, 3)"
a_star,0.0005503750,14.82842712474619,15,35,"(22, 26)","(24, 12)"
dijkstra,0.0048930420,14.828427124746192,15,338,"(22, 26)","(24, 12)"
theta_star,0.0003673330,14.142135623730951,2,15,"(22, 26)","(24, 12)"
jps,0.0010007920,14.828427124746192,6,6,"(22, 26)","(24, 12)"
lazy_theta_star,0.0002999580,14.142135623730951,2,15,"(22, 26)","(24, 12)"
a_star,0.0017682090,29.65685424949238,29,124,"(45, 19)","(24, 14)"
